2023/12/28 16:42:38 [error] 8392#11100: *597 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:42:42 [error] 8392#11100: *597 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:42:43 [error] 8392#11100: *591 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:42:47 [error] 8392#11100: *597 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:42:52 [error] 8392#11100: *597 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:45:22 [error] 8392#11100: *624 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:45:28 [error] 8392#11100: *645 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:45:29 [error] 8392#11100: *624 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:45:32 [error] 8392#11100: *645 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:45:40 [error] 8392#11100: *645 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:47:57 [error] 8392#11100: *652 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:51:20 [error] 8392#11100: *664 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:51:34 [error] 8392#11100: *664 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:52:00 [error] 8392#11100: *664 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:52:02 [error] 8392#11100: *666 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:52:06 [error] 8392#11100: *664 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:52:16 [error] 8392#11100: *666 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
2023/12/28 16:52:33 [error] 8392#11100: *666 CreateFile() "F:\notes\SpringCloud\codes\hmall-nginx/html/hmall-portal/js/axios.min.map" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /js/axios.min.map HTTP/1.1", host: "localhost:18080"
